indice,Date,Time,QLF5,PLF5
291,9/14/2023,14 09 2023 04:50:00,199.00,11.30
292,9/14/2023,14 09 2023 04:51:00,198.00,11.30
293,9/14/2023,14 09 2023 04:52:00,198.00,10.90
294,9/14/2023,14 09 2023 04:53:00,198.00,11.00
295,9/14/2023,14 09 2023 04:54:00,198.00,11.20
296,9/14/2023,14 09 2023 04:55:00,198.00,11.10
297,9/14/2023,14 09 2023 04:56:00,198.00,11.30
298,9/14/2023,14 09 2023 04:57:00,198.00,11.90
299,9/14/2023,14 09 2023 04:58:00,198.00,12.60
300,9/14/2023,14 09 2023 04:59:00,198.00,13.00
301,9/14/2023,14 09 2023 05:00:00,198.00,13.30
302,9/14/2023,14 09 2023 05:01:00,198.00,13.10
303,9/14/2023,14 09 2023 05:02:00,198.00,12.90
304,9/14/2023,14 09 2023 05:03:00,200.00,12.70
305,9/14/2023,14 09 2023 05:04:00,198.00,12.00
306,9/14/2023,14 09 2023 05:05:00,198.00,12.70
307,9/14/2023,14 09 2023 05:06:00,198.00,13.60
308,9/14/2023,14 09 2023 05:07:00,198.00,13.70
309,9/14/2023,14 09 2023 05:08:00,198.00,13.70
310,9/14/2023,14 09 2023 05:09:00,198.00,14.50
311,9/14/2023,14 09 2023 05:10:00,198.00,14.90
312,9/14/2023,14 09 2023 05:11:00,198.00,15.00
313,9/14/2023,14 09 2023 05:12:00,198.00,15.00
314,9/14/2023,14 09 2023 05:13:00,198.00,14.80
315,9/14/2023,14 09 2023 05:14:00,198.00,16.10
316,9/14/2023,14 09 2023 05:15:00,0.00,15.40
317,9/14/2023,14 09 2023 05:16:00,0.00,15.20
318,9/14/2023,14 09 2023 05:17:00,0.00,15.60
319,9/14/2023,14 09 2023 05:18:00,0.00,14.40
320,9/14/2023,14 09 2023 05:19:00,0.00,13.80
321,9/14/2023,14 09 2023 05:20:00,0.00,13.50
322,9/14/2023,14 09 2023 05:21:00,0.00,14.30
323,9/14/2023,14 09 2023 05:22:00,0.00,14.40
324,9/14/2023,14 09 2023 05:23:00,0.00,14.30
325,9/14/2023,14 09 2023 05:24:00,0.00,13.80
326,9/14/2023,14 09 2023 05:25:00,0.00,13.60
327,9/14/2023,14 09 2023 05:26:00,0.00,13.50
328,9/14/2023,14 09 2023 05:27:00,0.00,13.40
329,9/14/2023,14 09 2023 05:28:00,0.00,13.20
330,9/14/2023,14 09 2023 05:29:00,0.00,13.00
331,9/14/2023,14 09 2023 05:30:00,0.00,12.80
332,9/14/2023,14 09 2023 05:31:00,0.00,12.40
333,9/14/2023,14 09 2023 05:32:00,0.00,12.10
334,9/14/2023,14 09 2023 05:33:00,0.00,11.90
335,9/14/2023,14 09 2023 05:34:00,0.00,11.80
336,9/14/2023,14 09 2023 05:35:00,0.00,11.90
337,9/14/2023,14 09 2023 05:36:00,0.00,11.90
338,9/14/2023,14 09 2023 05:37:00,0.00,12.50
339,9/14/2023,14 09 2023 05:38:00,0.00,12.90
340,9/14/2023,14 09 2023 05:39:00,0.00,13.00
